mod_id,mod_description,mod_type,regulations,loi,aircraft_type,approval_date
MOD-2022-040,Retrofit of fire suppression system in forward fuselage for navigation improvement,Systems,"CS 25.1441,CS 25.729,CS 25.841",Medium,ATR72,2022-06-18
MOD-2021-009,Retrofit of system in dorsal fuselage for maintenance optimization,Electrical,"CS 25.1431,AMC 25-12,CS 25.1309",Medium,A330F,2021-03-05
MOD-2021-014,Enhancement of air outlet in leading edge for system reliability with reduced environmental impact,Cabin,"CS 25.785,CS 25.857,CS 25.853,CS 25.1309",Low,ERJ,2021-02-04
MOD-2022-010,Upgrade of engine mount system in landing gear bay for communication enhancement,Propulsion,"CS 25.901,CS 25.933,AMC 20-149",High,A321,2022-12-09
MOD-2024-CT-014,Integrated integrated flight system affecting both avionics and systems systems,Avionics/Systems,"CS 25.965,CS 25.1441,CS 25.1309,AMC 20-115,CS 25.561",Low,A340,2024-01-01
MOD-2023-032,Enhancement of system in wing tip for passenger comfort,Electrical,"CS 25.1431,AMC 25-12",Low,B737,2023-08-12
MOD-2021-018,Upgrade of system system in wing tip for communication enhancement including improved materials,Electrical,"CS 25.1431,CS 25.1381,CS 25.1309,AMC 25-12",Medium,A330F,2021-06-22
MOD-2024-017,Upgrade of lavatory system in cargo compartment for noise reduction with reduced environmental impact,Cabin,"CS 25.853,CS 25.812,CS 25.785,CS 25.857",High,ATR72,2024-05-13
MOD-2022-023,Replacement of existing system in landing gear bay with improved version for communication enhancement with reduced environmental impact,Electrical,"CS 25.1309,AMC 25-12,AMC 20-22",Medium,ATR72,2022-12-25
MOD-2024-043,Addition of flight management system in aft fuselage for regulatory compliance incorporating latest technology standards,Avionics,"AMC 20-151,CS 25.1309",Low,B777,2024-03-31
